gender,course,study_hours,class_attendance,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score,course_diff
male,Diploma,2.78,92.9,yes,7.4,poor,coaching,low,hard,58.9,0
other,Bachelor of Computer Applications,3.37,64.8,yes,4.6,average,online videos,medium,moderate,54.8,4
male,Bachelor of Science,7.88,76.8,yes,8.5,poor,coaching,high,moderate,90.3,5
other,Diploma,0.67,48.4,yes,5.8,average,online videos,low,moderate,29.7,0
female,Diploma,0.89,71.6,yes,9.8,poor,coaching,low,moderate,43.7,0
male,Bachelor of Technology,3.48,65.4,yes,4.2,good,mixed,low,moderate,58.2,6
female,Bachelor of Technology,1.35,69.0,yes,7.4,average,online videos,high,hard,53.7,6
male,Bachelor of Science,5.48,51.1,yes,8.2,poor,self-study,low,moderate,47.3,5
other,Bachelor of Computer Applications,2.89,92.0,yes,6.6,poor,self-study,low,easy,44.9,4
male,Bachelor of Business Administration,6.77,44.8,yes,9.8,average,group study,high,moderate,77.7,3
female,Bachelor of Arts,5.99,86.9,yes,5.8,average,self-study,medium,easy,63.2,1
male,Bachelor of Commerce,3.77,96.6,no,4.1,poor,online videos,medium,easy,53.5,2
female,Bachelor of Arts,6.76,46.4,yes,8.1,good,self-study,medium,hard,63.9,1
female,Bachelor of Business Administration,0.81,66.0,yes,7.1,poor,online videos,medium,moderate,34.1,3
male,Bachelor of Technology,4.65,75.1,yes,7.7,good,group study,high,moderate,83.5,6
other,Bachelor of Business Administration,4.84,99.4,yes,7.3,average,coaching,high,moderate,98.5,3
male,Bachelor of Science,1.97,91.9,yes,8.3,average,self-study,medium,moderate,70.3,5
male,Bachelor of Computer Applications,0.4,64.9,yes,6.8,poor,self-study,medium,moderate,32.3,4
female,Bachelor of Science,4.28,98.1,yes,4.4,average,mixed,low,moderate,56.2,5
male,Bachelor of Technology,4.11,59.9,yes,4.3,poor,coaching,high,moderate,49.3,6
female,Bachelor of Arts,5.23,60.4,yes,4.2,poor,coaching,medium,easy,68.1,1
other,Bachelor of Arts,1.7,70.4,yes,9.8,good,mixed,low,easy,52.1,1
male,Bachelor of Arts,1.44,86.8,yes,9.7,average,group study,medium,easy,47.1,1
female,Diploma,7.82,51.5,yes,6.3,good,self-study,low,easy,84.8,0
male,Bachelor of Business Administration,0.91,84.5,yes,8.0,average,coaching,low,moderate,68.9,3
male,Bachelor of Commerce,7.91,40.6,yes,4.3,good,group study,low,moderate,76.3,2
male,Bachelor of Computer Applications,5.76,55.7,no,8.2,average,self-study,low,easy,71.6,4
male,Bachelor of Arts,5.03,98.5,yes,6.7,poor,mixed,high,hard,74.1,1
female,Bachelor of Science,2.72,79.4,yes,7.0,good,online videos,medium,moderate,56.6,5
other,Bachelor of Technology,6.94,67.8,yes,4.6,good,group study,medium,moderate,49.2,6
other,Bachelor of Technology,7.28,83.9,yes,6.3,poor,mixed,high,easy,97.5,6
male,Bachelor of Science,5.78,66.1,yes,5.1,good,self-study,high,easy,81.8,5
other,Bachelor of Computer Applications,5.68,46.4,yes,4.1,good,self-study,high,moderate,65.6,4
female,Bachelor of Arts,3.95,69.9,no,6.5,poor,online videos,high,hard,71.1,1
female,Bachelor of Arts,0.62,97.3,yes,4.6,good,group study,high,easy,60.3,1
other,Bachelor of Commerce,7.91,56.4,yes,5.1,average,online videos,high,moderate,81.3,2
female,Bachelor of Science,0.12,43.2,no,5.8,average,online videos,medium,hard,37.3,5
male,Bachelor of Computer Applications,3.96,84.5,yes,6.7,poor,group study,low,hard,52.0,4
female,Bachelor of Technology,2.94,67.3,yes,5.4,average,coaching,high,easy,58.9,6
other,Bachelor of Business Administration,6.21,60.1,yes,9.7,average,online videos,low,easy,65.8,3
other,Diploma,5.89,69.3,yes,9.5,average,mixed,medium,moderate,67.6,0
male,Diploma,5.02,95.8,yes,5.5,poor,coaching,high,hard,99.3,0
other,Bachelor of Commerce,0.6,55.0,yes,6.7,good,online videos,high,easy,33.6,2
male,Bachelor of Computer Applications,1.89,52.0,yes,7.6,poor,group study,medium,moderate,35.5,4
other,Bachelor of Science,0.75,72.0,yes,5.1,average,group study,medium,moderate,42.8,5
male,Bachelor of Science,7.83,67.8,yes,7.8,good,coaching,high,easy,100.0,5
male,Bachelor of Commerce,1.02,49.0,yes,6.5,good,group study,high,easy,50.4,2
other,Bachelor of Technology,7.74,74.8,yes,4.2,good,online videos,high,moderate,74.0,6
female,Bachelor of Science,0.9,74.5,yes,5.5,poor,mixed,high,moderate,30.9,5
male,Bachelor of Computer Applications,6.9,76.3,yes,5.1,poor,mixed,low,moderate,75.9,4
male,Bachelor of Computer Applications,4.6,64.8,yes,8.9,poor,mixed,low,easy,75.3,4
male,Bachelor of Commerce,6.65,57.4,yes,7.0,good,group study,low,hard,88.7,2
male,Bachelor of Commerce,5.07,59.7,yes,5.1,good,group study,low,moderate,73.6,2
other,Bachelor of Commerce,6.15,90.1,yes,7.4,poor,self-study,high,moderate,76.8,2
male,Bachelor of Technology,5.85,77.5,no,6.6,average,online videos,low,moderate,64.9,6
male,Bachelor of Science,2.08,63.9,yes,6.6,good,mixed,high,easy,47.2,5
other,Diploma,7.48,76.8,yes,5.2,poor,group study,low,hard,78.1,0
other,Bachelor of Business Administration,5.15,61.0,yes,7.8,average,mixed,medium,moderate,77.8,3
male,Bachelor of Business Administration,1.62,91.8,no,8.9,average,mixed,high,moderate,66.9,3
female,Bachelor of Science,2.45,83.7,no,6.9,good,self-study,medium,moderate,70.5,5
female,Bachelor of Computer Applications,4.26,46.1,yes,4.9,average,online videos,medium,moderate,57.2,4
female,Bachelor of Science,7.05,43.4,yes,5.6,average,mixed,medium,moderate,75.5,5
male,Diploma,6.37,42.0,yes,5.9,good,self-study,low,easy,62.8,0
other,Bachelor of Arts,2.42,41.7,yes,9.3,average,online videos,high,moderate,31.7,1
other,Bachelor of Commerce,5.51,69.8,yes,7.7,good,self-study,low,hard,70.3,2
other,Bachelor of Computer Applications,0.08,50.9,yes,9.6,poor,mixed,low,moderate,19.599,4
other,Bachelor of Commerce,2.66,80.5,yes,5.9,average,mixed,low,moderate,54.0,2
male,Bachelor of Science,6.72,69.0,yes,9.2,good,self-study,high,moderate,61.0,5
female,Bachelor of Business Administration,1.21,45.6,yes,8.8,average,online videos,medium,moderate,35.1,3
other,Bachelor of Computer Applications,2.83,40.6,yes,9.7,good,mixed,low,easy,57.5,4
female,Bachelor of Business Administration,0.08,42.2,no,5.5,good,coaching,high,easy,26.4,3
other,Bachelor of Arts,0.19,72.0,yes,9.7,poor,self-study,high,moderate,45.3,1
female,Bachelor of Commerce,1.17,75.2,no,8.0,good,online videos,high,easy,46.9,2
other,Bachelor of Commerce,0.81,61.2,yes,8.4,poor,self-study,medium,hard,37.1,2
other,Diploma,3.92,44.7,yes,5.1,average,mixed,high,moderate,54.0,0
female,Bachelor of Commerce,7.2,96.1,yes,5.3,poor,mixed,low,moderate,78.8,2
other,Diploma,0.68,64.3,yes,9.9,poor,mixed,low,moderate,49.9,0
female,Bachelor of Science,6.96,65.8,yes,8.7,poor,online videos,low,hard,76.9,5
male,Bachelor of Science,5.35,62.9,yes,9.3,average,online videos,high,moderate,54.4,5
female,Bachelor of Commerce,1.35,43.6,yes,5.6,poor,coaching,medium,moderate,28.3,2
other,Bachelor of Technology,2.32,82.6,yes,7.0,good,self-study,medium,moderate,53.1,6
male,Diploma,1.55,79.9,yes,7.2,good,mixed,high,moderate,75.6,0
male,Bachelor of Commerce,6.31,49.9,no,5.6,average,group study,low,hard,57.5,2
female,Bachelor of Technology,5.8,56.1,yes,4.9,average,mixed,high,moderate,59.8,6
female,Bachelor of Business Administration,2.44,72.8,yes,5.1,good,group study,medium,easy,51.3,3
female,Diploma,0.43,62.6,yes,5.9,average,self-study,low,moderate,23.9,0
female,Diploma,1.35,99.4,yes,6.5,poor,group study,high,moderate,48.1,0
female,Bachelor of Technology,5.04,69.8,yes,4.1,average,self-study,high,easy,65.3,6
male,Bachelor of Computer Applications,0.72,92.9,yes,6.9,good,online videos,low,moderate,56.6,4
male,Bachelor of Commerce,4.29,52.3,yes,7.2,good,coaching,high,easy,79.5,2
other,Bachelor of Computer Applications,4.9,73.4,yes,6.9,poor,self-study,high,easy,79.9,4
female,Bachelor of Business Administration,5.5,59.3,no,7.6,average,self-study,low,hard,65.8,3
other,Bachelor of Computer Applications,1.0,96.1,yes,4.5,good,self-study,high,moderate,61.1,4
female,Bachelor of Computer Applications,3.68,73.1,yes,9.3,good,online videos,low,easy,65.8,4
male,Diploma,3.71,79.2,no,5.4,average,online videos,low,easy,49.0,0
female,Bachelor of Science,6.68,44.6,yes,6.6,average,group study,high,moderate,66.3,5
other,Bachelor of Computer Applications,3.75,69.3,yes,9.1,good,mixed,high,moderate,63.9,4
other,Bachelor of Technology,3.25,74.8,yes,8.3,poor,coaching,high,easy,49.5,6
male,Diploma,0.99,57.4,yes,8.3,poor,online videos,medium,moderate,40.0,0
other,Bachelor of Business Administration,5.56,84.1,yes,8.8,poor,mixed,medium,easy,78.7,3
female,Bachelor of Science,4.96,68.0,yes,9.8,good,self-study,medium,easy,61.4,5
male,Bachelor of Commerce,5.74,73.7,no,4.2,poor,online videos,high,moderate,69.6,2
female,Diploma,5.25,61.7,yes,9.9,poor,coaching,low,moderate,71.9,0
male,Bachelor of Business Administration,7.0,80.6,yes,9.6,poor,group study,medium,moderate,88.5,3
male,Bachelor of Science,7.02,46.2,yes,4.9,good,online videos,low,moderate,63.8,5
other,Bachelor of Computer Applications,2.46,70.4,yes,5.8,poor,mixed,low,hard,37.1,4
other,Bachelor of Computer Applications,1.46,93.7,yes,8.0,poor,mixed,high,hard,51.1,4
female,Bachelor of Technology,7.41,54.1,yes,9.3,average,coaching,low,hard,91.3,6
other,Bachelor of Science,5.7,92.1,yes,7.3,poor,coaching,high,moderate,95.2,5
other,Bachelor of Computer Applications,7.77,93.1,yes,7.1,poor,group study,low,easy,74.3,4
female,Bachelor of Commerce,3.98,53.8,no,4.7,good,mixed,high,easy,64.0,2
male,Bachelor of Technology,7.7,44.8,yes,8.3,average,mixed,high,moderate,79.6,6
female,Bachelor of Business Administration,0.98,85.9,yes,7.0,good,coaching,low,easy,51.8,3
male,Diploma,4.72,97.5,yes,4.6,good,self-study,low,moderate,74.4,0
other,Bachelor of Arts,3.97,55.3,yes,9.5,good,group study,high,easy,69.9,1
female,Diploma,0.08,94.8,yes,5.4,poor,coaching,high,moderate,26.5,0
other,Bachelor of Technology,1.54,52.5,yes,7.2,average,mixed,medium,moderate,45.5,6
other,Bachelor of Business Administration,1.23,61.6,yes,9.0,poor,mixed,medium,easy,57.0,3
female,Bachelor of Business Administration,0.49,93.2,yes,8.0,good,self-study,medium,easy,52.8,3
other,Diploma,7.59,58.2,yes,5.4,average,mixed,medium,moderate,93.1,0
other,Bachelor of Arts,7.72,85.3,yes,9.9,good,group study,medium,moderate,100.0,1
other,Bachelor of Computer Applications,7.13,48.8,yes,4.6,poor,self-study,medium,moderate,81.6,4
male,Bachelor of Science,7.91,62.7,yes,8.8,poor,mixed,high,moderate,100.0,5
female,Bachelor of Technology,6.65,96.4,yes,6.8,average,mixed,low,moderate,100.0,6
other,Bachelor of Computer Applications,7.46,53.6,yes,4.4,poor,mixed,medium,moderate,76.9,4
other,Bachelor of Technology,1.58,82.1,yes,5.5,good,group study,low,hard,51.9,6
female,Diploma,2.06,95.2,yes,4.5,good,coaching,low,moderate,51.0,0
male,Bachelor of Technology,6.9,87.1,yes,5.2,average,online videos,high,hard,71.1,6
male,Bachelor of Business Administration,3.84,96.9,yes,9.3,good,online videos,low,moderate,86.9,3
female,Bachelor of Arts,5.74,96.6,yes,5.8,poor,self-study,high,moderate,67.4,1
female,Bachelor of Business Administration,4.5,46.8,yes,7.7,good,mixed,low,moderate,76.3,3
other,Bachelor of Business Administration,2.45,76.1,yes,5.2,poor,self-study,high,easy,40.7,3
male,Bachelor of Arts,2.28,65.6,yes,5.5,poor,self-study,medium,moderate,19.599,1
female,Bachelor of Arts,5.99,81.0,yes,6.1,good,group study,medium,hard,71.9,1
male,Bachelor of Arts,4.26,84.6,yes,9.7,average,online videos,medium,moderate,56.6,1
other,Bachelor of Business Administration,2.88,54.7,yes,5.3,average,coaching,low,moderate,64.9,3
male,Bachelor of Business Administration,4.94,88.0,yes,7.9,poor,mixed,low,easy,65.6,3
male,Bachelor of Arts,3.36,64.6,no,6.2,poor,mixed,medium,moderate,49.0,1
male,Bachelor of Commerce,3.8,79.4,yes,4.9,good,self-study,low,easy,53.7,2
male,Bachelor of Technology,5.42,65.7,yes,7.3,good,mixed,low,moderate,72.2,6
female,Bachelor of Computer Applications,3.66,60.8,no,6.2,good,online videos,high,easy,65.4,4
female,Bachelor of Science,7.6,81.6,yes,9.2,good,self-study,low,moderate,83.3,5
female,Bachelor of Arts,3.88,72.5,no,9.6,poor,self-study,medium,easy,41.8,1
other,Diploma,7.69,91.2,yes,7.4,average,self-study,low,hard,69.4,0
female,Bachelor of Computer Applications,6.78,87.2,yes,5.8,average,online videos,high,moderate,75.4,4
male,Bachelor of Commerce,7.13,92.1,yes,7.2,poor,mixed,low,hard,66.9,2
female,Bachelor of Arts,6.11,85.9,no,9.3,good,group study,high,easy,100.0,1
other,Bachelor of Commerce,4.84,95.0,yes,8.0,average,online videos,medium,easy,70.7,2
female,Bachelor of Business Administration,4.26,49.4,yes,4.5,average,group study,medium,easy,34.3,3
male,Bachelor of Science,4.41,78.4,yes,4.4,good,coaching,high,hard,83.7,5
other,Diploma,1.61,44.9,yes,4.9,poor,mixed,high,easy,29.2,0
other,Diploma,1.72,70.0,yes,7.4,good,self-study,medium,easy,60.9,0
male,Bachelor of Commerce,0.27,91.7,yes,5.0,average,group study,medium,moderate,36.3,2
female,Bachelor of Science,5.96,83.5,yes,5.5,average,self-study,medium,moderate,69.1,5
female,Bachelor of Arts,1.0,75.0,yes,7.2,average,group study,low,moderate,63.5,1
male,Bachelor of Business Administration,4.66,81.6,yes,7.4,average,coaching,high,easy,82.6,3
male,Bachelor of Business Administration,1.1,50.4,yes,8.9,average,online videos,medium,hard,38.8,3
other,Bachelor of Technology,0.53,95.8,no,6.6,average,mixed,high,easy,56.9,6
female,Bachelor of Business Administration,4.27,52.7,yes,8.7,poor,self-study,medium,moderate,45.7,3
other,Bachelor of Technology,6.98,50.0,yes,4.5,average,online videos,high,moderate,92.0,6
female,Bachelor of Commerce,2.85,48.4,yes,7.3,poor,mixed,low,moderate,32.1,2
female,Bachelor of Computer Applications,7.35,96.2,yes,6.6,average,coaching,medium,hard,100.0,4
other,Diploma,0.08,67.7,yes,9.5,good,online videos,medium,easy,40.8,0
male,Bachelor of Business Administration,3.73,72.0,yes,8.3,good,mixed,high,hard,69.5,3
female,Bachelor of Science,1.17,62.7,yes,8.1,poor,mixed,high,moderate,39.0,5
male,Bachelor of Business Administration,2.53,41.6,no,9.4,average,self-study,medium,easy,23.5,3
male,Bachelor of Technology,0.19,44.0,yes,5.5,poor,online videos,low,easy,19.599,6
other,Bachelor of Science,0.28,40.9,no,8.5,good,self-study,high,easy,46.0,5
male,Bachelor of Technology,5.7,72.3,yes,9.2,poor,self-study,medium,moderate,67.9,6
female,Diploma,5.24,51.6,yes,9.9,poor,group study,high,moderate,54.0,0
female,Bachelor of Commerce,1.67,64.1,yes,6.6,good,self-study,medium,moderate,53.5,2
other,Bachelor of Arts,7.21,67.6,yes,8.0,average,self-study,medium,easy,77.8,1
female,Bachelor of Computer Applications,5.5,72.0,yes,5.1,poor,coaching,medium,moderate,68.1,4
other,Diploma,2.69,93.6,no,7.4,poor,coaching,medium,moderate,49.0,0
other,Diploma,3.26,42.6,yes,6.7,average,coaching,high,moderate,52.2,0
other,Bachelor of Science,2.34,69.7,yes,4.8,good,group study,high,moderate,55.4,5
other,Bachelor of Commerce,6.64,47.9,yes,9.5,poor,online videos,high,easy,69.4,2
male,Bachelor of Commerce,3.95,95.6,yes,9.4,good,self-study,low,moderate,80.7,2
male,Bachelor of Computer Applications,1.08,95.0,yes,9.8,poor,group study,medium,moderate,32.0,4
female,Bachelor of Commerce,1.61,48.4,yes,5.1,good,self-study,high,moderate,34.3,2
female,Bachelor of Science,2.37,47.0,yes,4.1,average,group study,medium,moderate,35.4,5
other,Bachelor of Computer Applications,3.23,46.6,yes,8.5,good,self-study,medium,easy,57.8,4
other,Bachelor of Arts,4.74,45.9,yes,5.6,average,online videos,low,easy,50.4,1
male,Bachelor of Computer Applications,7.71,49.5,yes,7.8,average,coaching,high,moderate,87.2,4
male,Bachelor of Commerce,2.1,49.3,yes,7.2,average,coaching,low,hard,56.6,2
male,Bachelor of Arts,2.63,49.8,yes,7.5,good,online videos,high,moderate,91.6,1
female,Bachelor of Technology,0.19,48.9,yes,7.0,poor,group study,medium,easy,23.7,6
female,Bachelor of Technology,2.98,62.7,yes,4.1,average,self-study,low,hard,56.5,6
male,Bachelor of Technology,5.4,55.2,yes,5.6,average,group study,low,easy,76.1,6
other,Bachelor of Science,7.7,65.0,yes,9.5,poor,online videos,medium,easy,73.1,5
male,Bachelor of Commerce,5.92,93.6,yes,6.5,poor,self-study,medium,moderate,74.8,2
female,Bachelor of Technology,0.94,61.1,yes,5.9,good,self-study,medium,easy,21.4,6
other,Bachelor of Science,7.12,57.2,yes,4.1,poor,mixed,high,moderate,69.5,5
male,Bachelor of Computer Applications,6.71,94.9,yes,6.2,poor,coaching,low,easy,90.0,4
other,Bachelor of Computer Applications,1.51,59.3,yes,5.3,good,mixed,medium,easy,44.3,4
other,Bachelor of Commerce,7.47,47.3,yes,7.1,poor,group study,low,moderate,66.6,2
other,Diploma,5.71,77.1,yes,8.2,average,online videos,high,easy,83.5,0
male,Bachelor of Technology,6.26,56.9,no,4.4,average,self-study,high,easy,70.9,6
female,Bachelor of Technology,3.67,71.2,yes,8.3,good,mixed,low,easy,67.9,6
male,Bachelor of Commerce,1.61,86.1,yes,4.1,poor,online videos,medium,hard,44.7,2
female,Bachelor of Science,6.39,73.9,yes,8.1,poor,mixed,high,moderate,84.0,5
other,Bachelor of Technology,3.82,88.5,yes,4.9,average,coaching,medium,easy,73.0,6
other,Bachelor of Computer Applications,7.74,60.7,no,6.1,poor,self-study,medium,moderate,65.0,4
other,Diploma,1.23,50.1,yes,4.7,good,coaching,low,moderate,31.4,0
female,Bachelor of Science,2.84,63.7,yes,7.3,average,group study,low,moderate,48.5,5
other,Bachelor of Commerce,5.88,64.7,yes,8.8,average,coaching,high,moderate,78.6,2
other,Bachelor of Computer Applications,4.58,83.0,yes,7.4,average,mixed,high,moderate,90.9,4
other,Diploma,3.47,81.2,no,9.4,poor,group study,low,moderate,39.6,0
other,Bachelor of Commerce,5.61,58.6,yes,4.2,good,coaching,low,easy,66.5,2
female,Bachelor of Business Administration,5.87,95.8,yes,6.1,average,group study,low,hard,83.1,3
male,Bachelor of Technology,4.62,56.5,yes,6.3,average,online videos,low,moderate,40.2,6
male,Bachelor of Arts,2.55,99.4,yes,5.9,average,coaching,low,easy,57.6,1
other,Diploma,4.95,42.0,yes,6.5,average,online videos,medium,moderate,51.5,0
male,Bachelor of Arts,4.36,80.4,no,7.4,good,self-study,high,easy,92.2,1
male,Bachelor of Business Administration,6.38,77.2,yes,5.2,poor,mixed,high,moderate,72.7,3
other,Bachelor of Business Administration,5.23,75.1,yes,5.2,poor,mixed,medium,moderate,69.9,3
female,Bachelor of Business Administration,3.97,86.7,yes,4.9,good,group study,low,moderate,62.6,3
other,Bachelor of Business Administration,0.15,75.5,yes,5.8,average,self-study,low,easy,27.7,3
male,Diploma,1.34,76.6,yes,7.9,average,self-study,low,hard,55.9,0
female,Bachelor of Technology,2.69,92.6,yes,7.1,average,mixed,high,moderate,57.2,6
female,Diploma,4.81,51.2,yes,5.7,good,mixed,high,easy,69.9,0
female,Diploma,6.34,71.9,yes,9.8,average,mixed,medium,hard,84.6,0
female,Diploma,7.68,82.7,yes,7.8,average,coaching,low,moderate,100.0,0
male,Bachelor of Commerce,4.8,58.5,yes,5.6,good,mixed,low,moderate,61.6,2
other,Bachelor of Business Administration,5.83,53.2,yes,4.3,average,coaching,high,moderate,59.6,3
male,Bachelor of Commerce,4.97,47.7,yes,5.4,poor,mixed,low,hard,37.9,2
female,Bachelor of Computer Applications,3.44,55.8,yes,6.9,poor,mixed,medium,moderate,40.8,4
other,Bachelor of Commerce,4.88,80.0,yes,5.2,poor,online videos,high,hard,73.6,2
female,Bachelor of Commerce,3.21,76.9,yes,5.9,poor,group study,high,hard,52.1,2
male,Bachelor of Business Administration,3.63,50.3,yes,9.9,average,group study,high,easy,65.9,3
male,Bachelor of Technology,7.29,69.5,yes,9.6,good,coaching,high,hard,100.0,6
female,Bachelor of Commerce,4.51,52.8,yes,7.1,good,group study,medium,easy,70.6,2
female,Bachelor of Science,0.8,96.2,yes,9.0,poor,group study,high,moderate,61.6,5
other,Bachelor of Commerce,4.19,83.4,no,5.7,average,mixed,high,hard,74.8,2
male,Bachelor of Arts,7.63,50.4,no,8.5,good,online videos,low,moderate,68.6,1
female,Bachelor of Technology,0.8,57.4,yes,9.4,average,group study,low,moderate,57.4,6
male,Diploma,7.77,91.2,yes,9.0,average,coaching,medium,easy,95.5,0
female,Bachelor of Commerce,7.9,73.4,yes,7.8,poor,self-study,medium,moderate,89.0,2
female,Bachelor of Commerce,4.49,61.4,yes,9.0,poor,coaching,low,easy,72.6,2
male,Bachelor of Science,2.66,75.9,yes,4.1,good,self-study,high,hard,44.3,5
male,Diploma,0.08,63.4,no,6.3,poor,coaching,low,easy,19.599,0
male,Bachelor of Computer Applications,0.12,94.7,yes,8.6,average,mixed,high,moderate,61.2,4
female,Bachelor of Arts,3.1,92.4,yes,6.4,poor,mixed,high,easy,54.6,1
male,Bachelor of Commerce,6.26,49.6,yes,5.1,good,coaching,high,moderate,95.6,2
